report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,37120052000.0,,184.7121232354,66.039228323032,
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,12775689000.0,,308.7601780594,88.473466432436,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,9.61,,,,
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,29.4348549909,,,,
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,77.519468320973,,,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,136.52565499864028,,,,
2025-12-31,2025年报,2025-4,2025四季度,fcf_to_net_profit_ratio,1.5175095448863853,,,,
2025-12-31,2025年报,2025-4,2025四季度,pe_ttm,33.91,,,,
2025-12-31,2025年报,2025-4,2025四季度,pb,16.21,,,,
2025-06-30,2025中报,2025-2,2025二季度,operating_income_total,13876276000.0,,204.4491118692,71.47280562005,
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,4574368000.0,,396.4945356348,116.879429129607,
2025-06-30,2025中报,2025-2,2025二季度,basic_eps,3.4417,,,,
2025-06-30,2025中报,2025-2,2025二季度,assets_debt_ratio,32.4353098157,,,,
2025-06-30,2025中报,2025-2,2025二季度,index_weighted_avg_roe,36.789861098885,,,,
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_days,83.52867021188702,,,,
2025-06-30,2025中报,2025-2,2025二季度,fcf_to_net_profit_ratio,1.2248577289802658,,,,
2025-06-30,2025中报,2025-2,2025二季度,pe_ttm,106.08,,,,
2025-06-30,2025中报,2025-2,2025二季度,pb,31.03,,,,
2024-12-31,2024年报,2024-4,2024四季度,operating_income_total,13037749000.0,,106.9154874098,62.0598504342,
2024-12-31,2024年报,2024-4,2024四季度,parent_holder_net_profit,3125473000.0,,188.7689126562,104.666944316752,
2024-12-31,2024年报,2024-4,2024四季度,basic_eps,2.36,,,,
2024-12-31,2024年报,2024-4,2024四季度,assets_debt_ratio,26.8046595339,,,,
2024-12-31,2024年报,2024-4,2024四季度,index_weighted_avg_roe,33.874164979176,,,,
2024-12-31,2024年报,2024-4,2024四季度,inventory_turnover_days,103.17379486852607,,,,
2024-12-31,2024年报,2024-4,2024四季度,fcf_to_net_profit_ratio,2.839589399748454,,,,
2024-12-31,2024年报,2024-4,2024四季度,pe_ttm,69.11,,,,
2024-12-31,2024年报,2024-4,2024四季度,pb,12.56,,,,
2024-06-30,2024中报,2024-2,2024二季度,operating_income_total,4557831000.0,,61.9806511594,27.678439080007,
2024-06-30,2024中报,2024-2,2024二季度,parent_holder_net_profit,921333000.0,,93.3238210145,41.092111195701,
2024-06-30,2024中报,2024-2,2024二季度,basic_eps,0.6949,,,,
2024-06-30,2024中报,2024-2,2024二季度,assets_debt_ratio,23.2795723958,,,,
2024-06-30,2024中报,2024-2,2024二季度,index_weighted_avg_roe,11.396315273899,,,,
2024-06-30,2024中报,2024-2,2024二季度,inventory_turnover_days,101.14372628493109,,,,
2024-06-30,2024中报,2024-2,2024二季度,fcf_to_net_profit_ratio,1.8655860584609474,,,,
2024-06-30,2024中报,2024-2,2024二季度,pe_ttm,43.01,,,,
2024-06-30,2024中报,2024-2,2024二季度,pb,5.99,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_income_total,6301002000.0,,36.4643676727,24.22332353768,
2023-12-31,2023年报,2023-4,2023四季度,parent_holder_net_profit,1082344000.0,,127.5457259387,74.736485232033,
2023-12-31,2023年报,2023-4,2023四季度,basic_eps,0.81,,,,
2023-12-31,2023年报,2023-4,2023四季度,assets_debt_ratio,21.9531655716,,,,
2023-12-31,2023年报,2023-4,2023四季度,index_weighted_avg_roe,14.692570494627,,,,
2023-12-31,2023年报,2023-4,2023四季度,inventory_turnover_days,124.57696381227042,,,,
2023-12-31,2023年报,2023-4,2023四季度,fcf_to_net_profit_ratio,2.9530906994449087,,,,
2023-12-31,2023年报,2023-4,2023四季度,pe_ttm,40.64,,,,
2023-12-31,2023年报,2023-4,2023四季度,pb,3.45,,,,
2023-06-30,2023中报,2023-2,2023二季度,operating_income_total,2813812000.0,,19.2890676602,9.854062656205,
2023-06-30,2023中报,2023-2,2023二季度,parent_holder_net_profit,476575000.0,,43.1930172466,30.222217550351,
2023-06-30,2023中报,2023-2,2023二季度,basic_eps,0.3546,,,,
2023-06-30,2023中报,2023-2,2023二季度,assets_debt_ratio,19.4075410545,,,,
2023-06-30,2023中报,2023-2,2023二季度,index_weighted_avg_roe,6.680943270826,,,,
2023-06-30,2023中报,2023-2,2023二季度,inventory_turnover_days,131.90275287506768,,,,
2023-06-30,2023中报,2023-2,2023二季度,fcf_to_net_profit_ratio,1.8428536956407702,,,,
2023-06-30,2023中报,2023-2,2023二季度,pe_ttm,44.57,,,,
2023-06-30,2023中报,2023-2,2023二季度,pb,3.04,,,,
2022-12-31,2022年报,2022-4,2022四季度,operating_income_total,4617324000.0,,2.8208159574,-9.052152379842,
2022-12-31,2022年报,2022-4,2022四季度,parent_holder_net_profit,475660000.0,,-44.3242085402,-42.582057104091,
2022-12-31,2022年报,2022-4,2022四季度,basic_eps,0.35,,,,
2022-12-31,2022年报,2022-4,2022四季度,assets_debt_ratio,18.819642562,,,,
2022-12-31,2022年报,2022-4,2022四季度,index_weighted_avg_roe,6.902892071746,,,,
2022-12-31,2022年报,2022-4,2022四季度,inventory_turnover_days,169.63635907419115,,,,
2022-12-31,2022年报,2022-4,2022四季度,fcf_to_net_profit_ratio,2.284821090695034,,,,
2022-12-31,2022年报,2022-4,2022四季度,pe_ttm,28.25,,,,
2022-12-31,2022年报,2022-4,2022四季度,pb,3.29,,,,
2022-06-30,2022中报,2022-2,2022二季度,operating_income_total,2358818000.0,,33.0728086848,13.054699641544,
2022-06-30,2022中报,2022-2,2022二季度,parent_holder_net_profit,332820000.0,,-7.2258057323,-3.034158571715,
2022-06-30,2022中报,2022-2,2022二季度,basic_eps,0.2418,,,,
2022-06-30,2022中报,2022-2,2022二季度,assets_debt_ratio,17.1794254491,,,,
2022-06-30,2022中报,2022-2,2022二季度,index_weighted_avg_roe,4.778350548767,,,,
2022-06-30,2022中报,2022-2,2022二季度,inventory_turnover_days,159.89104583012534,,,,
2022-06-30,2022中报,2022-2,2022二季度,fcf_to_net_profit_ratio,0.6353734751517337,,,,
2022-06-30,2022中报,2022-2,2022二季度,pe_ttm,50.69,,,,
2022-06-30,2022中报,2022-2,2022二季度,pb,6.35,,,,
2021-12-31,2021年报,2021-4,2021四季度,operating_income_total,4490651000.0,,78.6633305099,29.47861130245,
2021-12-31,2021年报,2021-4,2021四季度,parent_holder_net_profit,854339000.0,,63.1959580138,15.312685166064,
2021-12-31,2021年报,2021-4,2021四季度,basic_eps,0.62,,,,
2021-12-31,2021年报,2021-4,2021四季度,assets_debt_ratio,18.0644829549,,,,
2021-12-31,2021年报,2021-4,2021四季度,index_weighted_avg_roe,13.196915309731,,,,
2021-12-31,2021年报,2021-4,2021四季度,inventory_turnover_days,116.40947716173015,,,,
2021-12-31,2021年报,2021-4,2021四季度,fcf_to_net_profit_ratio,1.0425580478006973,,,,
2021-12-31,2021年报,2021-4,2021四季度,pe_ttm,68.1,,,,
2021-12-31,2021年报,2021-4,2021四季度,pb,7.99,,,,
2020-12-31,2020年报,2020-4,2020四季度,operating_income_total,2513471000.0,,49.3061801057,28.38051739963,
2020-12-31,2020年报,2020-4,2020四季度,parent_holder_net_profit,523505000.0,,16.0461342709,9.322499336971,
2020-12-31,2020年报,2020-4,2020四季度,basic_eps,0.44,,,,
2020-12-31,2020年报,2020-4,2020四季度,assets_debt_ratio,12.053664604,,,,
2020-12-31,2020年报,2020-4,2020四季度,index_weighted_avg_roe,15.575511127012,,,,
2020-12-31,2020年报,2020-4,2020四季度,inventory_turnover_days,89.45724050239133,,,,
2020-12-31,2020年报,2020-4,2020四季度,fcf_to_net_profit_ratio,1.83289939924165,,,,
2020-12-31,2020年报,2020-4,2020四季度,pe_ttm,217.55,,,,
2020-12-31,2020年报,2020-4,2020四季度,pb,84.02,,,,
2019-12-31,2019年报,2019-4,2019四季度,operating_income_total,1683434000.0,,227.1910610269,227.191061026878,
2019-12-31,2019年报,2019-4,2019四季度,parent_holder_net_profit,451118000.0,,353.289255534,353.289255534008,
